,,,"Kingston [Population centre], Ontario",,,,,,"Ontario [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
"Language used most often at work","          Tamil",,       0,,       0,,       0,,    1870,,     900,,     975,
"Language used most often at work","          Telugu",,       0,,       0,,       0,,      35,,      10,,      20,
"Language used most often at work","          Dravidian languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","        Hmong-Mien languages",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","        Indo-European languages",,      90,,      50,,      45,,   38960,,   21375,,   17580,
"Language used most often at work","          Albanian",,       0,,       0,,       0,,     275,,     170,,     105,
"Language used most often at work","          Armenian",,       0,,       0,,       0,,     145,,      75,,      75,
"Language used most often at work","          Balto-Slavic languages",,      10,,      10,,       0,,    6655,,    3165,,    3495,
"Language used most often at work","            Baltic languages",,       0,,       0,,       0,,      70,,      25,,      40,
"Language used most often at work","              Latvian",,       0,,       0,,       0,,      20,,      10,,      10,
"Language used most often at work","              Lithuanian",,       0,,       0,,       0,,      45,,      20,,      25,
"Language used most often at work","            Slavic languages",,      10,,      10,,       0,,    6595,,    3135,,    3455,
"Language used most often at work","              Belarusan",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","              Bosnian",,       0,,       0,,       0,,     100,,      55,,      40,
"Language used most often at work","              Bulgarian",,       0,,       0,,       0,,     120,,      85,,      40,
"Language used most often at work","              Croatian",,       0,,       0,,       0,,     155,,     100,,      50,
"Language used most often at work","              Czech",,       0,,       0,,       0,,      25,,      20,,      10,
"Language used most often at work","              Macedonian",,       0,,       0,,       0,,      85,,      35,,      45,
"Language used most often at work","              Polish",,       0,,       0,,       0,,    1925,,     960,,     960,
"Language used most often at work","              Russian",,      10,,      10,,       0,,    2905,,    1240,,    1670,
"Language used most often at work","              Serbian",,       0,,       0,,       0,,     390,,     240,,     145,
"Language used most often at work","              Serbo-Croatian",,       0,,       0,,       0,,      20,,      10,,      10,
"Language used most often at work","              Slovak",,       0,,       0,,       0,,      55,,      40,,      20,
"Language used most often at work","              Slovene (Slovenian)",,       0,,       0,,       0,,      15,,       0,,      10,
"Language used most often at work","              Ukrainian",,       0,,       0,,       0,,     780,,     320,,     460,
"Language used most often at work","              Slavic languages; n.i.e.",,       0,,       0,,       0,,      10,,      10,,       0,
"Language used most often at work","          Celtic languages",,       0,,       0,,       0,,      15,,      10,,      10,
"Language used most often at work","            Scottish Gaelic",,       0,,       0,,       0,,      10,,       0,,       0,
"Language used most often at work","            Welsh",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","            Celtic languages; n.i.e.",,       0,,       0,,       0,,      10,,      10,,       0,
"Language used most often at work","          Germanic languages",,      25,,       0,,      20,,    6905,,    3655,,    3250,
"Language used most often at work","            Afrikaans",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","            Danish",,       0,,       0,,       0,,      30,,      15,,      20,
"Language used most often at work","            Dutch",,       0,,       0,,       0,,     790,,     425,,     365,
"Language used most often at work","            Frisian",,       0,,       0,,       0,,      25,,      20,,      10,
"Language used most often at work","            German",,      20,,       0,,      15,,    5690,,    3005,,    2690,
"Language used most often at work","            Icelandic",,       0,,       0,,       0,,       0,,      10,,       0,
"Language used most often at work","            Norwegian",,       0,,       0,,       0,,      30,,      10,,      20,
"Language used most often at work","            Swedish",,       0,,       0,,       0,,      55,,      15,,      35,
"Language used most often at work","            Vlaams (Flemish)",,       0,,       0,,       0,,      10,,      10,,      10,
"Language used most often at work","            Yiddish",,       0,,       0,,       0,,      20,,       0,,      20,
"Language used most often at work","            Germanic languages; n.i.e.",,       0,,       0,,       0,,     240,,     155,,      80,
"Language used most often at work","          Greek",,       0,,       0,,       0,,     405,,     240,,     165,
"Language used most often at work","          Indo-Iranian languages",,       0,,       0,,      10,,   11880,,    6560,,    5315,
"Language used most often at work","            Indo-Aryan languages",,      10,,      10,,      10,,    9205,,    4900,,    4310,
"Language used most often at work","              Bengali",,       0,,       0,,       0,,     335,,     160,,     170,
"Language used most often at work","              Gujarati",,      10,,       0,,      10,,     730,,     255,,     475,
"Language used most often at work","              Hindi",,       0,,       0,,       0,,     800,,     380,,     415,
"Language used most often at work","              Kashmiri",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","              Konkani",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","              Marathi",,       0,,       0,,       0,,      30,,      10,,      20,
"Language used most often at work","              Nepali",,       0,,       0,,       0,,      80,,      30,,      50,
"Language used most often at work","              Oriya (Odia)",,       0,,       0,,       0,,       0,,       0,,       0,
"Language used most often at work","              Punjabi (Panjabi)",,       0,,       0,,       0,,    6025,,    3480,,    2550,
"Language used most often at work","              Sindhi",,       0,,       0,,       0,,      20,,      10,,      15,
"Language used most often at work","              Sinhala (Sinhalese)",,       0,,       0,,       0,,      30,,      15,,      10,
"Language used most often at work","              Urdu",,       0,,       0,,       0,,    1150,,     555,,     600,
"Language used most often at work","            Iranian languages",,       0,,       0,,       0,,    2660,,    1655,,    1005,
"Language used most often at work","              Kurdish",,       0,,       0,,       0,,     105,,      95,,      15,
"Language used most often at work","              Pashto",,       0,,       0,,       0,,      20,,      10,,      15,
"Language used most often at work","              Persian (Farsi)",,       0,,       0,,       0,,    2530,,    1555,,     975,
